Repository,File,Line,Type,Severity,Description,Category
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","289","put","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","295","addDirtyRegion","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","298","disableResizedPosting","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","298","disableResizedPosting","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","299","disableResizedPosting","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","307","clear","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","333","disableResizedPosting","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","348","getId","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","349","getId","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","350","put","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","365","toString","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","387","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","401","getId","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","417","addDirtyRegion","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","551","put","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","551","getId","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","572","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","597","put","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/BasicLookupStrategy.java","621","addDirtyRegion","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/JdbcAclService.java","54","getLogStream","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/JdbcAclService.java","102","toString","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/JdbcAclService.java","105","isEmpty","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/JdbcAclService.java","120","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/JdbcAclService.java","141","NotFoundException","error","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/JdbcMutableAclService.java","142","isEmpty","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/JdbcMutableAclService.java","149","disableResizedPosting","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/JdbcMutableAclService.java","154","getTTL","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/JdbcMutableAclService.java","158","getId","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/JdbcMutableAclService.java","159","setInterface","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/JdbcMutableAclService.java","161","setInterface","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/JdbcMutableAclService.java","181","toString","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/JdbcMutableAclService.java","276","disableResizedPosting","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/JdbcMutableAclService.java","325","toString","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/JdbcMutableAclService.java","340","getId","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/JdbcMutableAclService.java","388","getId","info","Deprecated","Deprecated"
"spring-security","acl/src/main/java/org/springframework/security/acls/jdbc/JdbcMutableAclService.java","390","NotFoundException","error","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/AclPermissionCacheOptimizerTests.java","59","verifyMIC","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/AclPermissionCacheOptimizerTests.java","59","getDefaultRequestProperty","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/AclPermissionCacheOptimizerTests.java","59","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/AclPermissionEvaluatorTests.java","49","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/AclPermissionEvaluatorTests.java","53","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/AclPermissionEvaluatorTests.java","54","getDefaultRequestProperty","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/AclPermissionEvaluatorTests.java","66","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/AclPermissionEvaluatorTests.java","70","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/AclPermissionEvaluatorTests.java","71","getDefaultRequestProperty","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationCollectionFilteringProviderTests.java","54","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationCollectionFilteringProviderTests.java","54","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationCollectionFilteringProviderTests.java","55","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationCollectionFilteringProviderTests.java","55","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationCollectionFilteringProviderTests.java","65","isEmpty","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationCollectionFilteringProviderTests.java","90","verifyMIC","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationCollectionFilteringProviderTests.java","90","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationCollectionFilteringProviderTests.java","90","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationProviderTests.java","66","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationProviderTests.java","66","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationProviderTests.java","67","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationProviderTests.java","67","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationProviderTests.java","103","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationProviderTests.java","103","create_dyn_any","info","Deprecated","Deprecated"
"spring-security","acl/src/test/java/org/springframework/security/acls/afterinvocation/AclEntryAfterInvocationProviderTests.java","105","create_dyn_any","info","Deprecated","Deprecated"
